

1897,11,26,1023.57,1023.13,1021.98,1021.37,1020.29,1019.30,1018.49,1019.37,1019.47,1019.68,1020.22,1020.15,1019.68,1019.27,1019.13,1019.07,1019.00,1018.73,1018.32,1017.71,1016.83,1016.15,1015.68,1014.93,1019.24
1897,11,27,1014.19,1013.04,1011.89,1010.40,1008.97,1008.30,1007.35,1007.21,1006.88,1006.84,1007.42,1008.03,1007.55,1007.32,1007.82,1007.42,1007.01,1007.01,1006.47,1005.49,1004.78,1003.62,1002.20,1000.98,1007.42
1897,11,28,1000.54,999.12,997.22,995.06,992.38,989.10,984.83,981.99,981.04,980.80,979.95,978.50,977.82,976.70,975.04,975.45,976.84,978.09,978.70,978.90,980.26,982.90,985.54,988.42,983.98
1897,11,29,990.86,993.77,995.40,997.36,998.85,1001.15,1003.05,1004.54,1005.76,1006.84,1007.35,1008.20,1008.50,1008.60,1008.37,1008.26,1007.89,1007.86,1007.15,1006.20,1004.91,1003.39,1001.32,999.15,1003.52
1897,11,30,996.41,993.97,991.47,991.40,991.30,991.60,991.40,991.20,991.03,990.65,990.04,989.57,989.03,988.39,988.32,988.01,988.49,988.32,988.59,988.66,988.93,989.16,989.84,990.42,990.28


1894,2,9,1003.29,1002.27,1000.85,999.70,998.75,997.73,997.33,996.72,995.97,995.70,995.23,995.02,994.92,994.92,993.97,994.72,993.70,994.11,993.30,992.69,992.08,991.40,990.25,991.06,995.67
1894,2,10,990.21,989.60,988.66,987.78,988.18,987.54,988.32,989.88,988.93,988.79,989.30,989.57,989.44,989.77,990.11,991.30,991.06,991.74,991.33,991.33,991.20,990.93,990.35,990.25,989.81
1894,2,11,990.21,990.55,989.74,989.20,988.59,987.91,986.49,985.74,983.98,982.22,980.36,978.60,976.23,974.47,972.71,970.74,968.78,966.88,964.78,962.75,961.94,960.92,959.70,956.99,976.26
1894,2,12,956.79,959.60,964.75,972.74,976.19,979.45,981.68,983.78,985.00,987.00,987.91,988.52,989.13,989.47,990.62,991.50,992.45,993.74,994.62,995.94,997.26,998.88,1000.44,1002.00,985.81
1894,2,13,1003.96,1005.28,1006.60,1008.23,1009.04,1010.36,1011.01,1011.41,1011.95,1011.82,1012.60,1012.80,1012.97,1013.00,1013.75,1014.56,1015.44,1016.46,1017.20,1018.15,1019.17,1019.64,1020.05,1020.52,1013.17
